study_id,phase,sponsor_type,no_of_locations,no_of_conditions,enrollment,allocation,intervention_model,masking,no_of_arms,no_of_drug_interventions,no_of_behavioral_interventions,no_of_procedural_interventions,no_of_biological_interventions,no_of_device_interventions,no_of_dietary_interventions,no_of_other_interventions,adverseEventDataAvailable,no_of_combination_product_interventions,no_of_diagnostic_test_interventions,no_of_genetic_interventions,no_of_radiation_interventions,min_age,max_age,gender,total_dropout_rate,start_date,end_date,no_of_primary_outcomes,no_of_secondary_outcomes,has_result
NCT02647320,PHASE2,INDUSTRY,58.0,1,298.0,RANDOMIZED,PARALLEL,QUADRUPLE,5.0,4,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.22,2016-01-04,2019-02-08,1.0,14.0,True
NCT04450394,PHASE2,INDUSTRY,64.0,1,278.0,RANDOMIZED,PARALLEL,NONE,3.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.09,2020-06-26,2022-10-06,1.0,3.0,True
NCT00875394,PHASE3,INDUSTRY,,1,68.0,RANDOMIZED,PARALLEL,NONE,3.0,4,0,0,0,0,0,0,1,0,0,0,0,30.0,78.0,ALL,0.0,2009-04-01,2017-04-28,1.0,,True
NCT01472185,PHASE3,INDUSTRY,159.0,1,465.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,2,2,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.15,2011-11-11,2014-10-15,1.0,4.0,True
NCT00871572,PHASE2,INDUSTRY,19.0,1,87.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.22,2009-03-26,2018-03-24,1.0,15.0,True
NCT03745937,PHASE2,INDUSTRY,1.0,1,20.0,RANDOMIZED,PARALLEL,QUADRUPLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,74.0,ALL,0.15,2018-11-08,2020-05-20,10.0,20.0,True
NCT03014479,PHASE4,INDUSTRY,27.0,1,219.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.02,2017-01-05,2023-12-07,1.0,20.0,True
NCT03416127,PHASE2,OTHER,1.0,1,36.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,30.0,60.0,ALL,0.06,2018-01-23,2022-11-02,3.0,21.0,True
NCT00545584,PHASE3,INDUSTRY,,1,1512.0,RANDOMIZED,PARALLEL,NONE,3.0,1,2,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.19,2007-10-16,2017-04-07,1.0,1.0,True
NCT02771093,PHASE4,INDUSTRY,1.0,1,27.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.0,2016-05-11,2023-12-07,1.0,23.0,True
NCT02717078,,OTHER,1.0,1,48.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,0,0,1,1,0,0,0,0,18.0,,ALL,0.21,2016-03-17,2024-02-14,1.0,20.0,True
NCT01494987,PHASE3,INDUSTRY,140.0,1,431.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,3,2,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.13,2011-12-15,2014-11-05,1.0,3.0,True
NCT03951753,PHASE1,INDUSTRY,2.0,1,117.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,74.0,ALL,0.08,2019-05-14,2022-06-08,1.0,8.0,True
NCT00817778,PHASE2,INDUSTRY,1.0,1,27.0,RANDOMIZED,PARALLEL,SINGLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,30.0,75.0,ALL,0.22,2009-01-05,2012-10-16,5.0,8.0,True
NCT03538743,PHASE1,INDUSTRY,4.0,1,98.0,RANDOMIZED,SEQUENTIAL,DOUBLE,9.0,9,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.06,2018-05-07,2020-06-17,4.0,7.0,True
NCT03495908,,NETWORK,2.0,2,136.0,RANDOMIZED,PARALLEL,NONE,2.0,0,0,0,0,1,0,0,1,0,0,0,0,21.0,,ALL,0.17,2018-03-17,2021-02-10,1.0,6.0,True
NCT03736785,PHASE2,INDUSTRY,44.0,1,399.0,RANDOMIZED,PARALLEL,NONE,3.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.12,2018-11-02,2021-02-12,1.0,7.0,True
NCT03131687,PHASE2,INDUSTRY,49.0,1,318.0,RANDOMIZED,PARALLEL,DOUBLE,6.0,3,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.11,2017-04-24,2019-07-31,1.0,16.0,True
NCT00791661,PHASE1,INDUSTRY,,1,24.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,64.0,ALL,0.0,2008-11-10,2016-01-06,2.0,6.0,True
NCT00835861,PHASE2,OTHER,1.0,2,31.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,FEMALE,0.1,2009-02-02,2017-04-21,1.0,8.0,True
NCT00754130,PHASE1,INDUSTRY,,1,16.0,RANDOMIZED,PARALLEL,DOUBLE,6.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,65.0,ALL,0.0,2008-09-16,2015-02-23,2.0,6.0,True
NCT04556760,PHASE2,INDUSTRY,3.0,1,46.0,RANDOMIZED,CROSSOVER,DOUBLE,3.0,2,0,0,0,0,0,1,1,0,0,0,0,18.0,75.0,ALL,0.0,2020-09-15,2024-02-02,1.0,27.0,True
NCT01554618,PHASE3,INDUSTRY,35.0,1,84.0,RANDOMIZED,PARALLEL,QUADRUPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,10.0,17.0,ALL,0.0,2012-03-13,2021-11-02,3.0,20.0,True
NCT04235959,PHASE1,INDUSTRY,2.0,1,24.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,70.0,ALL,0.08,2020-01-20,2022-08-11,1.0,4.0,True
NCT01435616,PHASE3,INDUSTRY,167.0,1,1538.0,RANDOMIZED,PARALLEL,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.16,2011-09-09,2018-03-16,1.0,19.0,True
NCT02292433,PHASE1,INDUSTRY,1.0,1,12.0,RANDOMIZED,CROSSOVER,DOUBLE,2.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,64.0,ALL,0.0,2014-11-12,2016-02-16,14.0,16.0,True
NCT02954601,PHASE2,INDUSTRY,1.0,1,31.0,RANDOMIZED,CROSSOVER,QUADRUPLE,4.0,3,0,0,0,0,0,1,1,0,0,0,0,20.0,75.0,ALL,0.0,2016-10-13,2018-07-11,1.0,3.0,True
NCT02889510,PHASE3,INDIV,6.0,1,76.0,RANDOMIZED,CROSSOVER,DOUBLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,40.0,65.0,ALL,0.18,2016-08-25,2021-02-09,1.0,7.0,True
NCT00501592,PHASE2,INDUSTRY,4.0,2,64.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.12,2007-07-13,2012-04-17,1.0,1.0,True
NCT04564846,PHASE2,INDUSTRY,1.0,1,49.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,1,0,0,0,0,0,1,1,0,0,0,0,18.0,70.0,ALL,0.16,2020-09-21,2024-04-10,1.0,5.0,True
NCT00758069,PHASE2,INDUSTRY,,1,80.0,RANDOMIZED,PARALLEL,DOUBLE,3.0,3,0,0,0,0,0,0,1,0,0,0,0,20.0,69.0,ALL,0.03,2008-09-22,2017-03-31,1.0,1.0,True
NCT00069784,PHASE3,INDUSTRY,40.0,1,12537.0,RANDOMIZED,FACTORIAL,NONE,4.0,3,0,0,0,1,0,0,1,0,0,0,0,50.0,,ALL,0.1,2003-10-01,2013-01-24,2.0,3.0,True
NCT01449747,PHASE4,OTHER,2.0,1,24.0,NON_RANDOMIZED,PARALLEL,NONE,2.0,1,0,0,0,0,0,0,1,0,0,0,0,20.0,70.0,ALL,0.0,2011-09-29,2015-11-10,4.0,1.0,True
NCT01241448,PHASE2,INDUSTRY,40.0,1,263.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,70.0,ALL,0.43,2010-11-12,2018-03-24,1.0,15.0,True
NCT03861052,PHASE3,INDUSTRY,46.0,1,636.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.03,2019-03-01,2022-04-13,1.0,11.0,True
NCT03338010,PHASE3,INDUSTRY,32.0,1,536.0,RANDOMIZED,PARALLEL,NONE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,,ALL,0.08,2017-11-07,2021-05-03,1.0,11.0,True
NCT03311724,PHASE2,INDUSTRY,13.0,1,111.0,RANDOMIZED,PARALLEL,DOUBLE,4.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,75.0,ALL,0.06,2017-10-12,2021-04-28,1.0,7.0,True
NCT01468181,PHASE3,INDUSTRY,14.0,1,394.0,NON_RANDOMIZED,PARALLEL,NONE,5.0,6,0,0,0,0,0,0,1,0,0,0,0,20.0,,ALL,0.07,2011-11-07,2015-01-16,2.0,6.0,True
NCT05478252,PHASE3,INDUSTRY,65.0,1,388.0,RANDOMIZED,PARALLEL,TRIPLE,2.0,2,0,0,0,0,0,0,1,0,0,0,0,18.0,64.0,ALL,0.04,2022-07-26,2024-09-16,1.0,8.0,True
