no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions
7,2,41,2,1,18,84,2,1,18,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,714,2,1
1,1,124,2,1,21,80,12,6,14,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2631,2,1
151,1,677,2,1,18,80,32,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3118,2,1
37,1,2165,1,1,18,99,17,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1312,1,1
1,5,60,3,1,21,100,5,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3031,3,1
1,1,319,2,1,20,69,5,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3339,2,1
44,1,383,9,1,18,75,8,1,6,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,745,4,1
1,1,133,2,1,20,69,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2988,3,1
1,1,34,2,1,18,70,6,5,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,827,2,1
1,2,70,2,1,30,65,7,2,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,2265,2,1
34,1,360,2,1,20,69,21,4,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3289,2,1
85,1,369,2,1,18,75,13,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,4518,1,1
58,1,298,5,1,18,70,22,1,14,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1131,4,1
64,1,278,3,1,18,75,9,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,832,2,1
1,1,68,3,1,30,78,0,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2949,4,1
159,1,465,2,1,18,75,15,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1069,4,2
19,1,87,4,1,18,70,22,1,15,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3285,2,1
1,1,20,4,1,18,74,15,10,20,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,559,2,1
27,1,219,2,1,20,69,2,1,20,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2527,2,1
1,1,36,3,1,30,60,6,3,21,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1744,3,1
