no_of_locations,no_of_conditions,enrollment,no_of_arms,adverseEventDataAvailable,min_age,max_age,total_dropout_rate,no_of_primary_outcomes,no_of_secondary_outcomes,has_result,phase_MISSING,phase_PHASE1,phase_PHASE2,phase_PHASE3,phase_PHASE4,sponsor_FED,sponsor_INDIV,sponsor_INDUSTRY,sponsor_NIH,sponsor_OTHER,sponsor_OTHER_GOV,allocation_encoded,intervention_model_CROSSOVER,intervention_model_FACTORIAL,intervention_model_PARALLEL,intervention_model_SEQUENTIAL,intervention_model_SINGLE_GROUP,masking_DOUBLE,masking_NONE,masking_QUADRUPLE,masking_TRIPLE,male,female,trail_length,no_of_interventions,no_of_types_of_interventions
1,1,40,2,1,18,75,0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,4735,2,1
1,1,10,1,1,18,69,30,1,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1105,3,2
86,2,388,4,1,18,69,7,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1940,2,1
1,1,376,4,1,18,69,30,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1029,3,1
8,2,66,2,1,20,69,5,2,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2864,2,1
71,1,302,5,1,21,75,21,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2830,5,1
1,1,653,2,1,18,79,19,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2276,4,1
1,1,380,2,1,18,69,0,1,6,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1172,2,1
34,2,458,4,1,20,69,2,1,32,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1497,2,1
1,1,258,5,1,40,75,12,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1616,5,2
74,1,408,2,1,18,80,5,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2041,3,1
6,2,46,2,1,18,69,4,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1329,1,1
1,1,211,4,1,30,65,9,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3536,4,1
3,1,121,3,1,18,80,2,2,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2164,6,1
1,2,245,2,1,18,69,14,1,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1482,2,1
88,1,833,2,1,18,69,9,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1720,2,1
61,2,404,2,1,18,69,6,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1149,2,1
1,4,47,2,1,18,90,23,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1657,2,1
1,1,118,2,1,40,75,12,1,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,926,1,1
25,1,206,2,1,18,69,5,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1302,3,1
2,1,40,4,1,18,80,3,1,5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1575,5,1
1,1,14671,2,1,50,69,5,2,16,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,4733,2,1
16,2,243,5,1,20,69,2,1,49,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1469,3,1
37,2,453,2,1,18,69,5,1,60,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1029,2,1
1,1,40,2,1,18,45,0,5,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,510,3,1
30,1,215,4,1,20,75,0,1,8,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2482,2,1
89,1,972,3,1,18,69,13,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3148,4,1
1,1,317,2,1,18,69,8,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2677,3,1
69,1,503,2,1,18,80,7,1,13,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2200,2,1
1,1,744,6,1,18,78,13,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2619,5,1
174,1,841,2,1,18,69,16,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2447,2,2
1,1,480,3,1,30,75,2,3,27,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2639,1,1
7,1,88,2,1,18,69,47,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2992,2,1
1,1,10,2,1,18,40,20,1,6,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,922,2,1
16,1,65,2,1,20,69,8,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1165,3,1
1,1,48,3,1,18,55,0,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1373,4,1
46,2,145,2,1,18,69,0,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1758,2,1
21,1,219,2,1,18,78,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2155,5,1
2,2,20,1,1,18,69,0,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,881,2,1
80,1,455,2,1,18,78,0,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2419,2,1
14,1,312,2,1,18,69,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,546,2,1
167,2,1264,2,1,18,69,3,1,51,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1591,4,1
132,1,936,7,1,18,80,28,1,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1515,7,1
45,1,245,2,1,18,80,7,1,9,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1987,2,1
84,1,491,3,1,18,80,5,1,9,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1680,3,1
1,1,165,3,1,20,80,24,1,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,3157,3,1
99,1,994,3,1,18,77,13,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,5426,2,1
103,2,632,9,1,18,69,7,1,6,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2711,3,1
112,1,567,3,1,18,80,20,6,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1792,3,1
36,2,720,3,1,18,69,8,1,61,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2004,3,1
427,1,3304,2,1,18,69,16,1,12,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1562,4,1
31,1,235,2,1,30,69,14,1,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3151,2,1
1,1,22,2,1,21,69,18,1,7,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1554,4,1
1,1,16,4,1,21,90,0,1,6,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,2058,2,1
1,1,8,1,1,18,65,0,1,12,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1235,3,1
51,2,222,2,1,18,69,15,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3006,4,1
1,2,400,2,1,20,69,16,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3743,4,1
1,1,520,2,1,18,69,14,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3803,2,1
116,1,688,2,1,18,75,41,1,28,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3655,8,1
99,2,460,2,1,18,69,13,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2534,2,1
1,1,50,2,1,40,75,27,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2261,1,1
1,1,12,2,1,18,55,0,2,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2219,2,1
1,1,45,2,1,18,69,9,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2914,1,1
116,2,460,2,1,18,69,13,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2534,2,1
136,1,978,2,1,35,75,0,1,16,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1401,3,1
1,1,48,4,1,18,70,4,4,17,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,328,8,1
1,2,161,2,1,18,80,0,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,718,2,1
25,2,308,3,1,20,69,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1179,3,1
27,1,93,2,1,18,77,2,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2543,2,1
41,2,343,2,1,18,69,15,1,9,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1457,3,1
145,1,302,2,1,60,69,8,1,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1355,2,1
1,1,40,2,1,40,85,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1557,2,2
1,1,18,4,1,18,55,0,1,13,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,954,5,1
1,1,114,1,1,35,64,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,5034,1,1
1,1,107,4,1,18,70,16,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2071,4,1
2,1,42,2,1,18,65,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,948,2,1
95,1,891,2,1,18,69,64,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1558,3,1
1,1,313,2,1,18,78,9,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2929,5,1
38,2,210,2,1,20,69,3,1,27,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1632,2,1
1,1,20,1,1,18,65,0,9,6,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1026,3,1
1,1,28,4,1,21,65,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,999,2,1
1,1,54,2,1,13,19,31,2,57,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,452,2,1
14,1,371,3,1,17,79,12,1,8,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1762,1,1
1,1,34,3,1,18,70,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1210,2,1
1,2,7,1,1,16,65,28,1,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,4004,1,1
50,2,296,2,1,20,69,7,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2226,2,1
53,1,227,3,1,18,80,22,2,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2126,3,1
25,2,368,2,1,18,80,11,1,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1148,2,1
1,1,18,2,1,18,45,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,336,3,1
81,2,833,2,1,18,69,7,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1403,2,1
1,1,57,2,1,30,70,6,1,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3209,2,1
43,1,574,7,1,20,69,6,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1260,7,1
93,2,458,2,1,18,69,24,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2568,2,1
53,2,435,2,1,18,69,9,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2587,2,1
1,1,23,6,1,18,70,0,1,10,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1881,3,1
1,1,32,4,1,18,70,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2646,2,1
187,2,1030,2,1,18,69,0,4,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2642,2,1
60,2,31,2,1,18,69,13,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,972,2,1
446,2,7637,2,1,50,69,2,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2101,2,1
92,2,530,2,1,18,69,0,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2483,2,1
19,1,306,2,1,18,80,9,1,13,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2127,2,1
67,2,868,4,1,18,69,7,1,73,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1455,6,1
132,2,346,2,1,18,69,16,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1841,3,1
19,1,300,2,1,18,80,10,1,13,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2127,2,1
9,1,302,2,1,30,75,15,1,9,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1358,4,1
166,2,721,2,1,18,69,0,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1939,2,1
86,2,451,2,1,18,80,19,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1692,2,1
23,2,257,2,1,20,69,4,1,11,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2108,3,1
1,2,161,1,1,18,69,30,1,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2610,1,1
1,1,25,2,1,21,55,0,3,3,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1677,1,1
1,1,10,1,1,18,70,11,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1023,2,1
1,5,71,2,1,21,75,17,1,6,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,4977,2,1
106,2,407,2,1,18,69,7,1,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1869,4,1
69,2,244,2,1,18,69,14,1,3,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3252,2,1
8,1,204,2,1,18,69,15,1,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1344,1,1
144,2,881,2,1,18,69,12,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2121,3,1
1,1,30,2,1,35,70,13,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1593,1,1
1,1,36,2,1,19,55,0,6,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,584,2,1
50,2,929,4,1,18,80,16,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3298,7,1
50,2,437,2,1,18,69,8,1,17,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1320,1,1
105,2,467,2,1,18,69,11,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2521,2,1
141,2,1231,4,1,18,69,5,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2104,4,1
36,2,363,2,1,20,69,9,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2129,2,1
1,1,641,2,1,21,69,12,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3809,2,1
1,1,190,2,1,18,78,16,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3619,2,1
210,1,586,2,1,18,75,0,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2628,2,2
86,2,413,2,1,18,69,16,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2710,2,1
1,2,42,2,1,18,70,0,1,6,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1583,2,1
1,1,56,3,1,18,70,0,1,8,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1348,3,1
1,1,1233,5,1,18,69,11,3,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1603,9,2
3,1,51,4,1,18,69,0,4,4,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1288,4,2
53,1,133,2,1,18,80,27,1,20,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1991,2,1
1,1,4717,2,1,37,75,16,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,3102,1,1
1,1,588,3,1,30,80,24,3,5,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1674,4,1
1,1,61,19,1,18,70,23,21,18,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,2325,12,1
99,2,397,4,1,18,69,4,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1642,2,1
185,2,135,2,1,10,17,0,1,79,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3416,3,1
1,2,34,2,1,30,75,0,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1367,2,1
253,2,3297,4,1,50,69,2,1,15,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2425,3,1
52,1,241,3,1,18,69,0,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1555,5,1
9,1,210,2,1,18,65,21,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1912,2,1
1,1,16,2,1,18,80,0,1,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2037,1,1
97,2,279,2,1,18,80,25,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2457,2,1
1,1,199,2,1,55,99,0,1,7,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3905,2,1
1,1,120,2,1,40,69,9,1,4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,4055,2,1
58,2,323,2,1,18,69,6,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2232,2,1
43,2,601,3,1,20,69,4,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1420,2,1
5,2,375,3,1,18,80,6,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,3285,3,1
146,2,813,2,1,18,69,9,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2168,2,1
1,1,144,2,1,60,69,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2807,2,1
2,1,130,2,1,18,69,8,1,9,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1184,1,1
51,2,274,2,1,18,69,16,1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1961,3,1
1,2,264,4,1,20,69,14,1,12,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,3737,3,1
16,1,219,5,1,18,69,10,1,16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1958,2,1
1,1,29,4,1,36,79,0,1,4,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,3285,4,1
3,1,193,3,1,18,69,16,2,6,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1221,2,1
124,2,413,3,1,18,69,9,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2027,3,1
1,2,41,1,1,5,21,12,4,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,945,1,1
166,2,665,5,1,18,80,0,4,71,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3143,4,1
1,1,32,2,1,20,45,0,1,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,757,2,1
1,2,28,1,1,18,80,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,3493,1,1
231,2,1089,3,1,18,69,6,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1860,2,1
1,2,441,2,1,18,69,5,1,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2426,3,1
1,2,10,1,1,18,70,0,1,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2724,1,1
1,1,42,6,1,18,45,0,6,20,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,985,2,1
28,2,178,3,1,18,75,8,1,12,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3298,4,1
109,2,438,2,1,18,69,10,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2292,3,1
1,1,130,2,1,18,55,6,5,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,4802,1,1
65,2,465,2,1,18,69,14,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2589,2,1
1,2,179,2,1,20,80,6,1,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1371,3,1
88,2,457,2,1,18,69,17,1,13,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2805,2,1
1,1,391,3,1,18,75,0,1,17,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2798,3,1
1,1,61,2,1,18,45,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2218,3,1
232,2,1991,2,1,18,69,59,1,22,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1546,7,1
47,1,561,4,1,20,80,0,3,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,2078,5,1
1,2,157,2,1,18,80,25,1,7,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,2175,4,1
3,1,57,2,1,21,79,0,1,4,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,795,2,1
49,2,394,2,1,18,69,6,1,6,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,2613,1,1
40,2,458,4,1,20,69,2,1,8,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1284,3,1
1,1,638,2,1,18,75,4,6,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1360,2,1
1,1,26,2,1,18,50,0,6,4,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2479,2,1
1,1,86,1,1,18,69,41,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,3924,2,2
